,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
UTSA-MIGUEL ESPARZA,6,0,1,1,0,0,2,0,0,0,0,0,0
MIZZOU-JACOB PARKER,5,6,1,1,0,0,4,0,0,0,0,0,0
MIZZOU-RUTHIE POLIO,4,0,0,0,0,0,0,0,0,0,0,0,0
MIZZOU-DREW MATZES,3,0,1,0,0,0,0,0,0,0,0,0,0
UTSA-AUSTIN VILLEJO,2,4,2,0,0,0,2,0,0,0,0,0,0
MIZZOU-54,2,0,0,1,0,0,0,0,0,0,0,0,0
UTSA-BROOK WILLET,2,0,1,0,0,0,1,0,0,0,0,0,0
MIZZOU-VINCENT WOOLSEY,1,1,0,0,0,0,0,0,0,0,0,0,0
MIZZOU-UNK,1,0,1,1,0,0,0,0,0,0,1,0,0
UTSA-4,1,0,0,0,0,0,1,0,0,0,1,0,0
UTSA-CHUCKY SEPULVEDA,1,0,0,0,0,0,1,0,0,0,1,0,0
UTSA-RENN LEBER,1,0,1,0,0,0,1,0,0,0,1,0,0
MIZZOU-MIKE HOLIDAY,0,2,0,0,0,0,1,0,0,0,0,0,0
MIZZOU-2,0,0,0,0,0,0,0,0,0,0,1,0,0
MIZZOU-35,0,0,0,0,0,1,0,0,0,0,0,0,0
MIZZOU-DAVID BECKER,0,0,0,0,2,0,0,0,0,0,0,0,0
MIZZOU-JUSTIN DEWICK,0,0,0,0,1,0,0,0,0,0,0,0,0
MIZZOU-MORGAN SMITH,0,0,0,0,1,1,0,0,0,0,0,0,0
UTSA-0,0,0,0,0,0,0,0,0,0,0,1,0,0
UTSA-DANIEL WILLIAMS,0,0,0,0,2,0,0,0,0,0,0,0,0
UTSA-DAVID KEIM,0,0,0,1,0,0,0,1,0,0,0,0,0
UTSA-JONATHAN GARCIA,0,0,0,0,1,2,0,0,0,0,0,0,0
UTSA-TYLER ZREET,0,0,0,0,0,1,0,0,0,0,0,0,0
